path:aca01200, path:afo01200, cpd:C01005
path:aca01200, path:afo01200, cpd:C00136
path:aca01200, path:atm01200, cpd:C01005
path:aca01200, path:bba01200, cpd:C00058
path:aca01200, path:bfr01200, cpd:C00258
path:aca01200, path:bma01200, cpd:C00136
path:aca01200, path:bno01200, cpd:C00258
path:aca01200, path:bror01200, cpd:C00058
path:aca01200, path:caby01200, cpd:C01005
path:aca01200, path:caci01200, cpd:C01005
path:aca01200, path:cbu01200, cpd:C00136
path:aca01200, path:ccot01200, cpd:C00258
path:aca01200, path:ccz01200, cpd:C01005
path:aca01200, path:cthe01200, cpd:C00058
path:aca01200, path:cwo01200, cpd:C00058
path:aca01200, path:cwo01200, cpd:C01005
path:aca01200, path:dav01200, cpd:C00258
path:aca01200, path:dps01200, cpd:C01005
path:aca01200, path:dps01200, cpd:C00258
path:aca01200, path:emi01200, cpd:C01005
path:aca01200, path:fgi01200, cpd:C00058
path:aca01200, path:fgi01200, cpd:C01005
path:aca01200, path:lcal01200, cpd:C01005
path:aca01200, path:mce01200, cpd:C00058
path:aca01200, path:mke01200, cpd:C00058
path:aca01200, path:mke01200, cpd:C00136
path:aca01200, path:noc01200, cpd:C00058
path:aca01200, path:phm01200, cpd:C00058
path:aca01200, path:phm01200, cpd:C01005
path:aca01200, path:phm01200, cpd:C00258
path:aca01200, path:pjd01200, cpd:C00136
path:aca01200, path:plh01200, cpd:C00258
path:aca01200, path:pls01200, cpd:C01005
path:aca01200, path:pseu01200, cpd:C00058
path:aca01200, path:sba01200, cpd:C00258
path:aca01200, path:shg01200, cpd:C01005
path:aca01200, path:slw01200, cpd:C00311
path:aca01200, path:tpol01200, cpd:C01005
path:aca01200, path:tye01200, cpd:C00258
path:aca01200, path:veg01200, cpd:C00058
path:aca01200, path:veg01200, cpd:C00136
path:aca01200, path:woc01200, cpd:C01005
path:afo01200, path:aca01200, cpd:C00354
path:afo01200, path:bba01200, cpd:C00058
path:afo01200, path:bror01200, cpd:C00058
path:afo01200, path:bror01200, cpd:C00877
path:afo01200, path:cthe01200, cpd:C00058
path:afo01200, path:cwo01200, cpd:C00058
path:afo01200, path:fgi01200, cpd:C00058
path:afo01200, path:iru01200, cpd:C00354
path:afo01200, path:lfu01200, cpd:C00668
path:afo01200, path:mce01200, cpd:C00058
path:afo01200, path:mke01200, cpd:C00058
path:afo01200, path:noc01200, cpd:C00058
path:afo01200, path:phm01200, cpd:C00058
path:afo01200, path:plh01200, cpd:C00877
path:afo01200, path:pseu01200, cpd:C00058
path:afo01200, path:slw01200, cpd:C00311
path:afo01200, path:veg01200, cpd:C00058
path:atm01200, path:bba01200, cpd:C00058
path:atm01200, path:bba01200, cpd:C00683
path:atm01200, path:bror01200, cpd:C00058
path:atm01200, path:bror01200, cpd:C00683
path:atm01200, path:bror01200, cpd:C00257
path:atm01200, path:caby01200, cpd:C00257
path:atm01200, path:ccx01200, cpd:C00683
path:atm01200, path:ccz01200, cpd:C00332
path:atm01200, path:cgo01200, cpd:C00332
path:atm01200, path:cthe01200, cpd:C00058
